publicationYear,title,isPartOf,docType,issueNumber,volumeNumber,creator
1998,Becoming a Gendered Body: Practices of Preschools,American Sociological Review,article,4,63,Karin A. Martin
2017,Why Should Women Get Less? Evidence on the Gender Pay Gap from Multifactorial Survey Experiments,American Sociological Review,article,1,82,Katrin Auspurg; Thomas Hinz; Carsten Sauer
2015,Tradition and Innovation in Scientists' Research Strategies,American Sociological Review,article,5,80,Jacob G. Foster; Andrey Rzhetsky; James A. Evans
2002,Two Decades of Family Change: The Shifting Economic Foundations of Marriage,American Sociological Review,article,1,67,Megan M. Sweeney
2006,"Care in Context: Men's Unpaid Work in 20 Countries, 1965-2003",American Sociological Review,article,4,71,Jennifer L. Hook
2006,"Collective Action, Rival Incentives, and the Emergence of Antisocial Norms",American Sociological Review,article,2,71,James A. Kitts
1985,"Same Time, Last Year: Selective Data Dredging for Negative Findings: Reply to Phillips and Bollen",American Sociological Review,article,3,50,James N. Baron; Peter C. Reiss
2011,"Protesting While Black? The Differential Policing of American Activism, 1960 to 1990",American Sociological Review,article,1,76,Christian Davenport; Sarah A. Soule; David A. Armstrong II
1992,"Historical Analogies, Generational Effects, and Attitudes Toward War",American Sociological Review,article,3,57,Howard Schuman; Cheryl Rieger
1995,"Engendering the Worlds of Labor: Women Workers, Labor Markets, and Production Politics in the South China Economic Miracle",American Sociological Review,article,3,60,Ching Kwan Lee
1973,The Assembling Process: A Theoretical and Empirical Examination,American Sociological Review,article,6,38,Clark McPhail; David Miller
2018,The Mark of a Woman’s Record: Gender and Academic Performance in Hiring,American Sociological Review,article,2,83,Natasha Quadlin
2016,The Privatization of Political Representation: Community-Based Organizations as Nonelected Neighborhood Representatives,American Sociological Review,article,6,81,Jeremy R. Levine
2009,The Politics of Union Decline: The Contingent Determinants of Union Recognition Elections and Victories,American Sociological Review,article,5,74,Daniel Tope; David Jacobs
2007,The Winds of Change: The Progressive Movement and the Bureaucratization of Thrift,American Sociological Review,article,1,72,Srikanth Paruchuri; Heather A. Haveman; Hayagreeva Rao
1952,The Present Status of Social Theory,American Sociological Review,article,2,17,Theodore Abel
2007,Does Money Whiten? Intergenerational Changes in Racial Classification in Brazil,American Sociological Review,article,6,72,Luisa Farah Schwartzman
2016,"Nonmarital First Births, Marriage, and Income Inequality",American Sociological Review,article,4,81,Andrew J. Cherlin; David C. Ribar; Suzumi Yasutake
2015,After State Socialism: The Political Origins of Transitional Recessions,American Sociological Review,article,2,80,Andrew G. Walder; Andrew Isaacson; Qinglian Lu
2011,How General Is Trust in “Most People”? Solving the Radius of Trust Problem,American Sociological Review,article,5,76,Kenneth Newton; Jan Delhey; Christian Welzel
2005,Cross-National Cultural Diffusion: The Global Spread of Cricket,American Sociological Review,article,1,70,Jason Kaufman; Orlando Patterson
2010,"Making the News: Movement Organizations, Media Attention, and the Public Agenda",American Sociological Review,article,6,75,Kenneth T. Andrews; Neal Caren
1965,Max Weber and Empirical Social Research,American Sociological Review,article,2,30,Paul F. Lazarsfeld; Anthony R. Oberschall
2003,No Evidence for Stochastic Learning in Voter Turnout,American Sociological Review,article,1,68,Steven P. Martin; Ching-Yi A. Shieh
1955,Toward the Development of a Short Form Test of Interpersonal Competence,American Sociological Review,article,6,20,Howard R. Stanton; Eugene Litwak
1994,Income Inequality and Industrial Development: Dualism Revisited,American Sociological Review,article,5,59,François Nielsen
2012,Revenge of the Managers,American Sociological Review,article,2,77,Adam Goldstein
2014,Coached for the Classroom: Parents' Cultural Transmission and Children's Reproduction of Educational Inequalities,American Sociological Review,article,5,79,Jessica McCrory Calarco
1964,Three Symposia on Political Behavior,American Sociological Review,article,5,29,Ralf Dahrendorf
1999,The Age-Period-Cohort Conundrum and Verbal Ability: Empirical Relationships and Their Interpretation: Reply to Glenn and to Alwin and McCammon,American Sociological Review,article,2,64,James A. Wilson; Walter R. Gove
1960,Sociology and Humane Learning,American Sociological Review,article,1,25,Robert Bierstedt
2017,Improving Cultural Analysis,American Sociological Review,article,1,82,Omar Lizardo
1981,Clarifying Confusions about Paradigms: A Reply to Ritzer,American Sociological Review,article,2,46,"Lester Hill, Jr; Douglas Lee Eckberg"
1955,Book Notes,American Sociological Review,article,4,20,
2006,The Growing Female Advantage in College Completion: The Role of Family Background and Academic Achievement,American Sociological Review,article,4,71,Claudia Buchmann; Thomas A. DiPrete
1994,"Does Economic Growth Benefit the Masses? Growth, Dependence, and Welfare in the Third World",American Sociological Review,article,5,59,Glenn Firebaugh; Frank D. Beck
1946,Sociological Principles and Occupied Germany,American Sociological Review,article,1,11,Clifford Kirkpatrick
1976,Community Power and Decision Making: A Replication and Extension of Hawley,American Sociological Review,article,4,41,Richard A. Smith
2018,Mass Mobilization and the Durability of New Democracies,American Sociological Review,article,2,83,Mohammad Ali Kadivar
1945,Is a Psychiatric Interpretation of the German Enigma Necessary?,American Sociological Review,article,4,10,Theodore Abel
2006,Cultural Assets or Structural Advantages in Numbers Gambling?,American Sociological Review,article,1,71,Jennifer Lee
2013,The Mechanics of Social Capital and Academic Performance in an Indian College,American Sociological Review,article,6,78,Sharique Hasan; Surendrakumar Bagde
1972,Household Complexity in Nineteenth Century France,American Sociological Review,article,2,37,"William L. Parish, Jr.; Moshe Schwartz"
2004,Growing Pains: Cross-National Variation in Sex Segregation in Sixteen Developing Countries,American Sociological Review,article,1,69,Mariko Lin Chang
1996,"The Effect of Changes in Intraracial Income Inequality and Educational Attainment on Changes in Arrest Rates for African Americans and Whites, 1957 to 1990",American Sociological Review,article,4,61,Gary LaFree; Kriss A. Drass
2015,The Price of Protection: A Trajectory Analysis of Civil Remedies for Abuse and Women's Earnings,American Sociological Review,article,1,80,Melanie M. Hughes; Lisa D. Brush
1990,Marxism as Science: Historical Challenges and Theoretical Growth,American Sociological Review,article,6,55,Michael Burawoy
2011,Cultural Anchors and the Organization of Differences: A Multi-method Analysis of LGBT Marches on Washington,American Sociological Review,article,2,76,Amin Ghaziani; Delia Baldassarri
2002,"Becoming a Pragmatist Philosopher: Status, Self-Concept, and Intellectual Choice",American Sociological Review,article,1,67,Neil Gross
2005,Cultural Politics and Modernist Architecture: The Tulip Debate in Postwar Hungary,American Sociological Review,article,1,70,Virág Molnár
2004,How Culture Mattered at Vatican II: Collegiality Trumps Authority in the Council's Social Movement Organizations,American Sociological Review,article,4,69,Melissa J. Wilde
2005,For Public Sociology,American Sociological Review,article,1,70,Michael Burawoy
2004,Revisiting the Contact Hypothesis: The Case of Public Exposure to Homelessness,American Sociological Review,article,1,69,Barrett A. Lee; Chad R. Farrell; Bruce G. Link
1943,Antagonistic Acculturation,American Sociological Review,article,2,8,George Devereux; Edwin M. Loeb
1947,The Role of the Guest: A Study in Child Development,American Sociological Review,article,2,12,James H. S. Bossard; Eleanor S. Boll
1973,"Comment on Williams' ""The Ecological Approach in Measuring Community Power Concentration""",American Sociological Review,article,3,38,Amos H. Hawley
2013,"The Association of Social Class and Lifestyles: Persistence in American Sociability, 1974 to 2010",American Sociological Review,article,4,78,Ivaylo D. Petev
2008,Agricultural Revolution and Elite Reproduction in Qing China: The Transition to Capitalism Debate Revisited,American Sociological Review,article,4,73,Ho-fung Hung
2018,A Systematic Assessment of “Axial Age” Proposals Using Global Comparative Historical Evidence,American Sociological Review,article,3,83,Daniel Austin Mullins; Daniel Hoyer; Christina Collins; Thomas Currie; Kevin Feeney; Pieter François; Patrick E. Savage; Harvey Whitehouse; Peter Turchin
2020,Workplace Compensation Practices and the Rise in Benefit Inequality,American Sociological Review,article,2,85,Tali Kristal; Edo Navot; Yinon Cohen
1988,"Inequality, Repression, and Violence: Issues of Theory and Research Design",American Sociological Review,article,5,53,Edward N. Muller
1951,The Labor Force as a Field of Interest for the Sociologist,American Sociological Review,article,4,16,Philip M. Hauser
1937,Chinese Family Life in America,American Sociological Review,article,5,2,Norman S. Hayner; Charles N. Reynolds
2004,Growing Pains: Cross-National Variation in Sex Segregation in Sixteen Developing Countries,American Sociological Review,article,1,69,Mariko Lin Chang
1991,"Conflict and Historical Variation in Steel Capital-State Relations: The Emergence of State Structures and a More Prominent, Less Autonomous State",American Sociological Review,article,5,56,Harland Prechel
1985,The Public Economy and Economic Growth in Western Market Economies,American Sociological Review,article,4,50,Roger Friedland; Jimy Sanders
1971,Professional Self-Images and Political Perspectives in the Greek Military,American Sociological Review,article,6,36,George Andrew Kourvetaris
2007,"Adoptive Parents, Adaptive Parents: Evaluating the Importance of Biological Ties for Parental Investment",American Sociological Review,article,1,72,Laura Hamilton; Simon Cheng; Brian Powell
1940,Trends in the Soviet Treatment of Crime,American Sociological Review,article,4,5,John N. Hazard
2003,"""Secularization"" by Any Other Name",American Sociological Review,article,2,68,Gerald Marwell; N. J. Demerath III
1963,The Changing Foundations of the Parsonian Action Scheme,American Sociological Review,article,5,28,John Finley Scott
1996,Ending Footbinding and Infibulation: A Convention Account,American Sociological Review,article,6,61,Gerry Mackie
1944,Russian Values and Character--A Preliminary Exploration,American Sociological Review,article,3,9,Joseph K. Folsom; Nikander Strelsky
1973,Reply to Burke,American Sociological Review,article,6,38,Gordon H. Lewis
2011,Variance Function Regression in Hierarchical Age-Period-Cohort Models: Applications to the Study of Self-Reported Health,American Sociological Review,article,6,76,Hui Zheng; Yang Yang; Kenneth C. Land
2011,"Unions, Norms, and the Rise in U.S. Wage Inequality",American Sociological Review,article,4,76,Bruce Western; Jake Rosenfeld
2007,Not by Productivity Alone: How Visibility and Specialization Contribute to Academic Earnings,American Sociological Review,article,4,72,Erin Leahey
2006,"Networks, Race, and Hiring",American Sociological Review,article,1,71,Roberto M. Fernandez; Isabel Fernandez-Mateo
1983,Mental Health and the Interpersonal Environment: A Reexamination of Some Effects of Social Structure on Mental Health,American Sociological Review,article,2,48,Charles Kadushin
1982,Cultural Capital and School Success: The Impact of Status Culture Participation on the Grades of U.S. High School Students,American Sociological Review,article,2,47,Paul DiMaggio
1992,The Log-Multiplicative Layer Effect Model for Comparing Mobility Tables,American Sociological Review,article,3,57,Yu Xie
1999,Collective Violence and Group Solidarity: Evidence from a Feuding Society,American Sociological Review,article,3,64,Roger V. Gould
2007,"Working More and Feeling Better: Women's Health, Employment, and Family Life, 1974-2004",American Sociological Review,article,2,72,Jason Schnittker
1978,A Cross-Cultural Study of Expressive and Instrumental Role Complementarity in the Family,American Sociological Review,article,4,43,William D. Crano; Joel Aronoff
2019,Hearing Gender,American Sociological Review,article,5,84,Danya Lagos
1998,Assessing the Oppositional Culture Explanation for Racial/Ethnic Differences in School Performance,American Sociological Review,article,4,63,James W. Ainsworth-Darnell; Douglas B. Downey
1970,Marxist Dialectic and Pragmatism: Power as Knowledge,American Sociological Review,article,2,35,Joan Huber Rytina; Charles P. Loomis
2011,Variance Function Regression in Hierarchical Age-Period-Cohort Models,American Sociological Review,article,6,76,Kenneth C. Land; Yang Yang; Hui Zheng
1988,"Democracy, Economic Development, and Income Inequality",American Sociological Review,article,1,53,Edward N. Muller
2002,How the Civil Rights Movement Revitalized Labor Militancy,American Sociological Review,article,5,67,Larry Isaac; Lars Christiansen
2014,"Union Strength, Neoliberalism, and Inequality: Contingent Political Analyses of U.S. Income Differences since 1950",American Sociological Review,article,4,79,Lindsey Myers; David Jacobs
2008,Mediation in Multiple Networks: Elite Mobilization before the English Civil War,American Sociological Review,article,3,73,Henning Hillmann
2008,Religion and the Construction of Civic Identity,American Sociological Review,article,1,73,Paul Lichterman
2019,"Linked Lives, Linked Trajectories: Intergenerational Association of Intragenerational Income Mobility",American Sociological Review,article,6,84,Siwei Cheng; Xi Song
1967,Toward a Sociological Model of Consensus,American Sociological Review,article,1,32,Thomas J. Scheff
1989,Generations and Collective Memories,American Sociological Review,article,3,54,Howard Schuman; Jacqueline Scott
2019,Mapping Cultural Schemas: From Theory to Method,American Sociological Review,article,5,84,Lauren Valentino; M.B. Fallin Hunzaker
1951,Sociological Research in the Field of Medicine: Progress and Prospects,American Sociological Review,article,5,16,Oswald Hall
1951,The Concept of Jewish Culture and the State of Israel,American Sociological Review,article,4,16,Henrik F. Infield
2014,Prisoners and Paupers: The Impact of Group Threat on Incarceration in Nineteenth-Century U.S. Cities,American Sociological Review,article,3,79,Susan Olzak; Suzanne Shanahan
1985,Unwelcome Immigrants: The Labor Market Experiences of 1980 (Mariel) Cuban and Haitian Refugees in South Florida,American Sociological Review,article,4,50,Alejandro Portes; Alex Stepick
1979,The Religious Switcher in the United States,American Sociological Review,article,4,44,Frank Newport
2006,"Blaming the Victims: Hearsay, Labeling, and the Hazards of Quick-Hit Disaster Ethnography",American Sociological Review,article,4,71,Eric Klinenberg
2014,Varieties of Capitalism and Job Quality: The Attainment of Civic Principles at Work in the United States and Germany,American Sociological Review,article,5,79,Carola Frege; John Godard
2012,Religion and Volunteering in Context: Disentangling the Contextual Effects of Religion on Voluntary Behavior,American Sociological Review,article,5,77,Chaeyoon Lim; Carol Ann MacGregor
1973,"""Ordinal Regression?"" A Comment",American Sociological Review,article,4,38,K. I. MacDonald
1989,Gender Stratification in Contemporary Urban Japan,American Sociological Review,article,4,54,Mary C. Brinton
2016,Racial Capitalism and the Crisis of Black Masculinity,American Sociological Review,article,5,81,Jordanna Matlon
2018,"The Social Sources of Geopolitical Power: French and British Diplomacy and the Politics of Interstate Recognition, 1689 to 1789",American Sociological Review,article,6,83,Jonah Stuart Brundage
2007,Climbing the Dispute Pagoda: Grievances and Appeals to the Official Justice System in Rural China,American Sociological Review,article,3,72,Ethan Michelson
2009,The Politics of Union Decline: The Contingent Determinants of Union Recognition Elections and Victories,American Sociological Review,article,5,74,Daniel Tope; David Jacobs
1962,Book Notes,American Sociological Review,article,1,27,
2018,The Societalization of Social Problems,American Sociological Review,article,6,83,Jeffrey C. Alexander
1980,"The Case of the Missing-Values Card, and Other Mysteries: Another Look at the Effect of Government Spending on Income Inequality",American Sociological Review,article,1,45,Glenn Firebaugh
1990,The Local Welfare State: Two Strategies for Social Domination in Urban Imperial Germany,American Sociological Review,article,6,55,George Steinmetz
2019,Measuring Automatic Cognition: Advancing Dual-Process Research in Sociology,American Sociological Review,article,2,84,Andrew Miles; Cyrus Schleifer; Raphaël Charron-Chénier
1966,The Friends and Supporters of Psychotherapy: On Social Circles in Urban Life,American Sociological Review,article,6,31,Charles Kadushin
1979,Confusion and Error in Kerckhoff and Parker: A Reply,American Sociological Review,article,2,44,Robert V. Robinson; Wendell Bell
2012,Educational Differences in U.S. Adult Mortality,American Sociological Review,article,4,77,Robert A. Hummer; Daniel A. Powers; Ryan K. Masters
1949,Race Patterns and Prejudice in Puerto Rico,American Sociological Review,article,2,14,Maxine W. Gordon
1989,Conceptualization of Terrorism,American Sociological Review,article,3,54,Jack P. Gibbs
2018,Scents and Sensibility,American Sociological Review,article,2,83,Karen A. Cerulo
2009,Ethnic Politics and Armed Conflict: A Configurational Analysis of a New Global Data Set,American Sociological Review,article,2,74,Lars-Erik Cederman; Brian Min; Andreas Wimmer
2013,How Macro-Historical Change Shapes Cultural Taste,American Sociological Review,article,2,78,Robert M. Fishman; Omar Lizardo
2003,In the Eye of the Beholder: Procedural Justice in Social Exchange,American Sociological Review,article,1,68,Linda D. Molm; Gretchen Peterson; Nobuyuki Takahashi
1936,Emergency and Permanent Legislation with Special Reference to the History of Subsistence Homesteads,American Sociological Review,article,4,1,Bruce L. Melvin
2013,The Association of Social Class and Lifestyles,American Sociological Review,article,4,78,Ivaylo D. Petev
1991,One Justified Criticism Plus Three Flawed Analyses Equals Two Unwarranted Conclusions: A Reply to Retherford and Sewell,American Sociological Review,article,2,56,R. B. Zajonc; Gregory B. Markus; Michael L. Berbaum; John A. Bargh; Richard L. Moreland
2009,The 2004 GSS Finding of Shrunken Social Networks: An Artifact?,American Sociological Review,article,4,74,Claude S. Fischer
2016,Sexual Orientation in the Labor Market,American Sociological Review,article,6,81,Trenton D. Mize
2012,Structure and Dynamics of Religious Insurgency,American Sociological Review,article,2,77,Hyojoung Kim; Steven Pfaff
2009,A Pragmatist Theory of Social Mechanisms,American Sociological Review,article,3,74,Neil Gross
1967,The Police on Skid-Row: A Study of Peace Keeping,American Sociological Review,article,5,32,Egon Bittner
1951,Identification as the Basis for a Theory of Motivation,American Sociological Review,article,1,16,Nelson N. Foote
1940,Intervening Opportunities: A Theory Relating Mobility and Distance,American Sociological Review,article,6,5,Samuel A. Stouffer
1963,"Interdependence, Differential Rewarding, and Productivity",American Sociological Review,article,5,28,L. Keith Miller; Robert L. Hamblin
1962,The Sociology of Empirical Social Research,American Sociological Review,article,6,27,Paul F. Lazarsfeld
2004,How Culture Mattered at Vatican II: Collegiality Trumps Authority in the Council's Social Movement Organizations,American Sociological Review,article,4,69,Melissa J. Wilde
2019,Hearing Gender: Voice-Based Gender Classification Processes and Transgender Health Inequality,American Sociological Review,article,5,84,Danya Lagos
1970,Problems in Making Policy Inferences from the Coleman Report,American Sociological Review,article,2,35,Glen G. Cain; Harold W. Watts
2007,Not by Productivity Alone: How Visibility and Specialization Contribute to Academic Earnings,American Sociological Review,article,4,72,Erin Leahey
1989,Murder and Capital Punishment: A Monthly Time-Series Analysis of Execution Publicity,American Sociological Review,article,5,54,William C. Bailey; Ruth D. Peterson
1990,Collective Sanctions and Compliance Norms: A Formal Theory of Group-Mediated Social Control,American Sociological Review,article,3,55,Douglas D. Heckathorn
2014,"Medical Adaptation to Academic Pressure: Schooling, Stimulant Use, and Socioeconomic Status",American Sociological Review,article,6,79,Jason M. Fletcher; Jennifer Jennings; Marissa D. King
2008,Beyond the Census Tract: Patterns and Determinants of Racial Segregation at Multiple Geographic Scales,American Sociological Review,article,5,73,Stephen A. Matthews; David O'Sullivan; Barrett A. Lee; Sean F. Reardon; Glenn Firebaugh; Chad R. Farrell
1999,Fueling the Politics of Age: On Economic Hardship across the Life Course: Comment on Mirowsky & Ross,American Sociological Review,article,4,64,Melissa A. Hardy; Lawrence E. Hazelrigg
2017,Ambiguity and Scientific Authority,American Sociological Review,article,1,82,Catherine Bliss; Aaron Panofsky
1991,Birth Order and Intelligence: Further Tests of the Confluence Model,American Sociological Review,article,2,56,Robert D. Retherford; William H. Sewell
2019,Mapping Cultural Schemas,American Sociological Review,article,5,84,M.B. Fallin Hunzaker; Lauren Valentino
2009,"Hispanics and Organized Labor in the United States, 1973 to 2007",American Sociological Review,article,6,74,Meredith Kleykamp; Jake Rosenfeld
2004,"Comment on Zajac and Westphal, ASR, June 2004: Towards the Social Reconstruction of an Interdisciplinary Turf War",American Sociological Review,article,3,69,Ezra W. Zuckerman
